Wave,Main
211.0,4576.00
212.0,4524.00
213.0,4588.00
214.0,4603.00
215.0,4564.00
216.0,4580.00
217.0,4628.00
218.0,4649.00
219.0,4655.00
220.0,4681.00
221.0,4617.00
222.0,4693.00
223.0,4686.00
224.0,4679.00
225.0,4711.00
226.0,4754.00
227.0,4711.00
228.0,4793.00
229.0,4755.00
230.0,4834.00
231.0,4820.00
232.0,4822.00
233.0,4851.00
234.0,4850.00
235.0,4905.00
236.0,5000.00
237.0,5053.00
238.0,5050.00
239.0,5104.00
240.0,5126.00
241.0,5089.00
242.0,5183.00
243.0,5232.00
244.0,5209.00
245.0,5281.00
246.0,5314.00
247.0,5375.00
248.0,5424.00
249.0,5530.00
250.0,5707.00
251.0,5745.00
252.0,5926.00
253.0,6013.00
254.0,6225.00
255.0,6451.00
256.0,6702.00
257.0,6956.00
258.0,7303.00
259.0,7731.00
260.0,8306.00
261.0,8980.00
262.0,9825.00
263.0,10827.00
264.0,12099.00
265.0,13300.00
266.0,14533.00
267.0,15535.00
268.0,17107.00
269.0,19363.00
270.0,21885.00
271.0,25154.00
272.0,29255.00
273.0,35474.00
274.0,55779.00
275.0,65535.00
276.0,65535.00
277.0,65535.00
278.0,65535.00
279.0,65535.00
280.0,65535.00
281.0,65535.00
282.0,65535.00
283.0,65535.00
284.0,65535.00
285.0,65535.00
286.0,46673.00
287.0,34886.00
288.0,29528.00
289.0,25633.00
290.0,22569.00
291.0,19638.00
292.0,17349.00
293.0,15337.00
294.0,13674.00
295.0,12575.00
296.0,11724.00
297.0,11122.00
298.0,10578.00
299.0,9996.00
300.0,9462.00
301.0,8761.00
302.0,8369.00
303.0,8224.00
304.0,8440.00
305.0,8728.00
306.0,8983.00
307.0,9334.00
308.0,9945.00
309.0,10652.00
310.0,11333.00
311.0,10803.00
312.0,9109.00
313.0,8082.00
314.0,7729.00
315.0,7455.00
316.0,7407.00
317.0,7363.00
318.0,7253.00
319.0,7210.00
320.0,6991.00
321.0,6970.00
322.0,6827.00
323.0,6790.00
324.0,6657.00
325.0,6582.00
326.0,6508.00
327.0,6467.00
328.0,6353.00
329.0,6303.00
330.0,6312.00
331.0,6189.00
332.0,6118.00
333.0,6114.00
334.0,6114.00
335.0,6268.00
336.0,6594.00
337.0,6712.00
338.0,6653.00
339.0,6548.00
340.0,6588.00
341.0,6657.00
342.0,6768.00
343.0,6790.00
344.0,6908.00
345.0,6992.00
346.0,7023.00
347.0,7180.00
348.0,7245.00
349.0,7405.00
350.0,7493.00
351.0,7430.00
352.0,7413.00
353.0,7499.00
354.0,7634.00
355.0,7814.00
356.0,7833.00
357.0,7911.00
358.0,7727.00
359.0,7656.00
360.0,7784.00
361.0,7886.00
362.0,7999.00
363.0,7958.00
364.0,8089.00
365.0,8028.00
366.0,8032.00
367.0,8214.00
368.0,8377.00
369.0,8383.00
370.0,8613.00
371.0,9057.00
372.0,9512.00
373.0,10247.00
374.0,10635.00
375.0,10086.00
376.0,9050.00
377.0,8465.00
378.0,8274.00
379.0,8355.00
380.0,8412.00
381.0,8476.00
382.0,8531.00
383.0,8580.00
384.0,8535.00
385.0,8448.00
386.0,8369.00
387.0,8455.00
388.0,8953.00
389.0,10283.00
390.0,12884.00
391.0,17262.00
392.0,22914.00
393.0,28534.00
394.0,29626.00
395.0,22608.00
396.0,14672.00
397.0,11297.00
398.0,10272.00
399.0,9616.00
400.0,8776.00
401.0,8257.00
402.0,8090.00
403.0,8137.00
404.0,8529.00
405.0,9213.00
406.0,10358.00
407.0,11633.00
408.0,12582.00
409.0,11938.00
410.0,10146.00
411.0,8652.00
412.0,8070.00
413.0,7752.00
414.0,7532.00
415.0,7137.00
416.0,6897.00
417.0,6893.00
418.0,6772.00
419.0,6840.00
420.0,6850.00
421.0,6895.00
422.0,6846.00
423.0,6881.00
424.0,6996.00
425.0,7009.00
426.0,7115.00
427.0,7105.00
428.0,7163.00
429.0,7425.00
430.0,7911.00
431.0,9646.00
432.0,13791.00
433.0,22090.00
434.0,34931.00
435.0,51826.00
436.0,65535.00
437.0,65535.00
438.0,65535.00
439.0,47782.00
440.0,28396.00
441.0,17327.00
442.0,13228.00
443.0,11063.00
444.0,9060.00
445.0,7637.00
446.0,6807.00
447.0,6497.00
448.0,6307.00
449.0,6156.00
450.0,5947.00
451.0,5883.00
452.0,5734.00
453.0,5619.00
454.0,5525.00
455.0,5438.00
456.0,5410.00
457.0,5369.00
458.0,5355.00
459.0,5310.00
460.0,5320.00
461.0,5281.00
462.0,5303.00
463.0,5282.00
464.0,5280.00
465.0,5244.00
466.0,5206.00
467.0,5131.00
468.0,5052.00
469.0,5077.00
470.0,5049.00
471.0,4960.00
472.0,4935.00
473.0,4929.00
474.0,4931.00
475.0,4919.00
476.0,4925.00
477.0,4942.00
478.0,4919.00
479.0,4911.00
480.0,4887.00
481.0,4870.00
482.0,4877.00
483.0,4843.00
484.0,4815.00
485.0,4842.00
486.0,4893.00
487.0,4803.00
488.0,4823.00
489.0,4890.00
490.0,5144.00
491.0,5454.00
492.0,5918.00
493.0,6527.00
494.0,6916.00
495.0,6852.00
496.0,6468.00
497.0,5712.00
498.0,5146.00
499.0,4956.00
500.0,4880.00
501.0,4724.00
502.0,4693.00
503.0,4620.00
504.0,4596.00
505.0,4625.00
506.0,4589.00
507.0,4618.00
508.0,4593.00
509.0,4593.00
510.0,4595.00
511.0,4591.00
512.0,4569.00
513.0,4567.00
514.0,4558.00
515.0,4538.00
